elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id,task_label
725.0,0.000289089498898988,2.4306267040322737e-05,1.977562243848772e-05,2.2290204238947523e-05,5.2162298068847124e-05,war,WAR (complex64),0.022638859155717346,0.013907352418149145,0.007987804710859978,0.009635196667544631,0.018157319648032598,cahn_hilliard_2d_o6,CH6
730.0,0.00036598572425360147,2.5641106289975218e-05,2.278675288159454e-05,2.3831624562031615e-05,4.1096010991227826e-05,war,WAR (complex64),0.02500679437258334,0.016194956717261243,0.008672951852890859,0.00996618044565489,0.01703556342769844,cahn_hilliard_2d_o6,CH6
735.0,3.63000731996405e-05,2.292636586450185e-05,2.0253999162500113e-05,2.0884126256109573e-05,2.9761617644903347e-05,war,WAR (complex64),0.015556057722603173,0.012030593501623624,0.007940417803942735,0.009191179537022975,0.014786646978678238,cahn_hilliard_2d_o6,CH6
740.0,3.416163763110992e-05,2.2057771694134347e-05,1.284211412858746e-05,2.1619159236151335e-05,2.6420809457387557e-05,war,WAR (complex64),0.013835926183407694,0.009702231321653518,0.007444921950375586,0.009562553294508044,0.013447742595725815,cahn_hilliard_2d_o6,CH6
745.0,3.433139111093901e-05,2.35061982106983e-05,1.4542878488131908e-05,1.979654232347116e-05,2.3786924007192665e-05,war,WAR (complex64),0.01301803145587266,0.011292644120728158,0.007147735162974379,0.009696740263588507,0.012938272633650065,cahn_hilliard_2d_o6,CH6
750.0,0.00011274332383818867,2.053612437581216e-05,1.443605256969598e-05,2.001590184716923e-05,3.162662669513621e-05,war,WAR (complex64),0.026054037421218645,0.01263124218371142,0.007469519502173471,0.012087606294955302,0.01289393201846658,cahn_hilliard_2d_o6,CH6
755.0,0.0006516299826682611,2.8094361317969294e-05,2.127987009340949e-05,2.7386049266812772e-05,3.206861991964761e-05,war,WAR (complex64),0.020147786568282335,0.01312819397509611,0.008067372952976047,0.01010837868887069,0.013321229488204127,cahn_hilliard_2d_o6,CH6
760.0,0.00015124686356265585,2.0842693362269876e-05,1.33648225393538e-05,1.9528998383756588e-05,3.239685352165752e-05,war,WAR (complex64),0.015290516544223228,0.011551550998783787,0.00858822431765853,0.009007037149412082,0.011938388482891419,cahn_hilliard_2d_o6,CH6
765.0,7.666459491818956e-05,2.4505442582480433e-05,1.1158991510495026e-05,1.939251589609173e-05,2.88282639754395e-05,war,WAR (complex64),0.012032239845593973,0.010863663522136779,0.0075104805771814415,0.009841836961947138,0.011115617841356848,cahn_hilliard_2d_o6,CH6
770.0,4.2143320947507496e-05,2.7624061297121447e-05,2.03703560985037e-05,2.1136717127020702e-05,3.296957950793274e-05,war,WAR (complex64),0.012228020583072608,0.010743509472073219,0.00737294955792399,0.010532842113483406,0.010782206410957246,cahn_hilliard_2d_o6,CH6
775.0,2.7469588674646404e-05,2.404015033364608e-05,1.6837176192346254e-05,1.8897337824951646e-05,2.606981110437646e-05,war,WAR (complex64),0.011769706746761857,0.010141731224462327,0.006643843482811808,0.008998914873048214,0.010867259103346533,cahn_hilliard_2d_o6,CH6
