panel,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
chirp_a2,complex_sinh,519.596369,8.8543383963e-05,8.8195504649e-05,9.3979825871e-05,8.8543383963e-05,8.8195504649e-05,9.3979825871e-05,5
chirp_a2,complex_sinh,522.948603,8.8189588740e-05,8.7836275302e-05,9.3581316979e-05,8.8189588740e-05,8.7836275302e-05,9.3581316979e-05,5
chirp_a2,complex_sinh,526.300838,8.7841277360e-05,8.7483010879e-05,9.3186375260e-05,8.7841277360e-05,8.7483010879e-05,9.3186375260e-05,5
chirp_a2,complex_sinh,529.653073,8.7501011325e-05,8.7134595165e-05,9.2796616683e-05,8.7501011325e-05,8.7134595165e-05,9.2796616683e-05,5
chirp_a2,complex_sinh,533.005307,8.7167697094e-05,8.6793038805e-05,9.2410966319e-05,8.7167697094e-05,8.6793038805e-05,9.2410966319e-05,5
chirp_a2,complex_sinh,536.357542,8.6839635170e-05,8.6454453398e-05,9.2028980835e-05,8.6839635170e-05,8.6454453398e-05,9.2028980835e-05,5
chirp_a2,complex_sinh,539.709777,8.6519375354e-05,8.6123064414e-05,9.1651266752e-05,8.6519375354e-05,8.6123064414e-05,9.1651266752e-05,5
chirp_a2,complex_sinh,543.062011,8.6202238678e-05,8.5793243679e-05,9.1276002910e-05,8.6202238678e-05,8.5793243679e-05,9.1276002910e-05,5
chirp_a2,complex_sinh,546.414246,8.5893414249e-05,8.5470420137e-05,9.0904585922e-05,8.5893414249e-05,8.5470420137e-05,9.0904585922e-05,5
chirp_a2,complex_sinh,549.766480,8.5586068793e-05,8.5148811318e-05,9.0534891345e-05,8.5586068793e-05,8.5148811318e-05,9.0534891345e-05,5
chirp_a2,complex_sinh,553.118715,8.5286927745e-05,8.4832470128e-05,9.0168150051e-05,8.5286927745e-05,8.4832470128e-05,9.0168150051e-05,5
chirp_a2,complex_sinh,556.470950,8.4988832256e-05,8.4517844962e-05,8.9802894364e-05,8.4988832256e-05,8.4517844962e-05,8.9802894364e-05,5
